incident_number,date_reported,date_occurred,badge_id,offense_classification,offense_code_name,nibrs_code,nibrs_group_name,was_offense_completed,lmpd_division,lmpd_beat,location_category,block_address,city,zip_code,ObjectId
LMPD24041363,4/10/2024 1:00:00 AM,4/10/2024 2:00:00 AM,5391,21 THEFT FR VEH,"TBUT OR DISP CONTENTS FROM VEH $500 < $1,000 514.030 24141 23F",23F,A,YES,6TH DIVISION,625,HIGHWAY/ ROAD/ ALLEY/ STREET/ SIDEWALK,4200 BLOCK MANNER DALE DR,LOUISVILLE,40220,53535
LMPD24040597,4/8/2024 11:23:00 PM,4/7/2024 7:00:00 PM,8585,22 THEFT MV PARTS,THEFT OF MOTOR VEHICLE REGISTRATION PLATE/DECAL 186.990(6) 28200 23G,23G,A,YES,6TH DIVISION,612,PARKING/ DROP LOT/ GARAGE,5000 BLOCK POPLAR LEVEL RD,LOUISVILLE,40219,53536
LMPD24040713,4/9/2024 5:15:00 AM,4/9/2024 4:00:00 AM,5505,28 FRAUD CREDIT CARD/ATM,FRAUDULENT USE OF A CREDIT CARD 434.650(1)(B) 71200 26B,26B,A,YES,1ST DIVISION,123,OTHER RESIDENCE (APARTMENT/CONDO),500 BLOCK S 8TH ST,LOUISVILLE,40203,53537
LMPD24040492,4/8/2024 5:37:00 PM,4/8/2024 5:37:00 PM,5258,56 ALL OTHER OFFENSES,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT 403.785 03018 90Z,90Z,B,NO,4TH DIVISION,411,OTHER RESIDENCE (APARTMENT/CONDO),1400 BLOCK S 2ND ST,LOUISVILLE,40208,53538
LMPD24040789,4/9/2024 1:15:00 PM,4/9/2024 1:15:00 PM,7823,46 FAMILY OFFENSES,VIOLATION OF KENTUCKY EPO/DVO 403.763 02763 90F,90F,B,NO,1ST DIVISION,123,HIGHWAY/ ROAD/ ALLEY/ STREET/ SIDEWALK,400 BLOCK S 2ND ST,LOUISVILLE,40202,53539
LMPD24900938,4/10/2024 12:35:00 AM,4/10/2024 12:35:00 AM,8185,21 THEFT FR VEH,TBUT OR DISP CONTENTS FROM VEH 514.030 24140 23F,23F,A,YES,7TH DIVISION,735,RESIDENCE/HOME,8200 BLOCK DELIDO RD,LOUISVILLE,40219,53540
LMPD24040597,4/8/2024 11:23:00 PM,4/12/2024 12:06:00 AM,8585,33 STOLEN PROPERTY,RECEIVING STOLEN PROPERTY 514.110(3) 28008 280,280,A,YES,6TH DIVISION,612,HIGHWAY/ ROAD/ ALLEY/ STREET/ SIDEWALK,,LOUISVILLE,40219,53541
LMPD24043908,4/9/2024 5:00:00 AM,4/9/2024 5:00:00 AM,5186,11 SIMPLE ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY 508.030 00797 13B,999,B,NO,2ND DIVISION,211,RESIDENCE/HOME,100 BLOCK S 36TH ST,LOUISVILLE,40212,53542
LMPD24040484,4/8/2024 5:32:00 PM,4/3/2024 7:16:00 PM,8373,18 SHOPLIFTING,TBUT OR DISP SHOPLIFTING 514.030 24230 23C,23C,A,YES,2ND DIVISION,225,DEPARTMENT/DISCOUNT STORE,1400 BLOCK DIXIE HWY,LOUISVILLE,40210,53543
LMPD24040787,4/9/2024 1:15:00 PM,4/9/2024 1:15:00 PM,7148,12 INTIMIDATION,TERRORISTIC THREATENING 3RD DEGREE 508.080 00822 13C,13C,A,YES,1ST DIVISION,123,GAMBLING FACILITY/ CASINO/ RACE TRACK,400 BLOCK W MARKET ST,LOUISVILLE,40202,53544
LMPD24041076,4/10/2024 12:30:00 AM,4/10/2024 12:30:00 AM,8402,24 VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE 512.040 01403 290,290,A,YES,7TH DIVISION,724,PARKING/ DROP LOT/ GARAGE,11300 BLOCK PRESTON HWY,LOUISVILLE,40229,53545
LMPD24040613,4/8/2024 11:00:00 PM,4/8/2024 11:00:00 PM,5563,56 ALL OTHER OFFENSES,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT 403.785 03018 90Z,90Z,B,NO,6TH DIVISION,613,RESIDENCE/HOME,3500 BLOCK MAYO DR,LOUISVILLE,40218,53546
LMPD24043908,4/9/2024 5:00:00 AM,4/9/2024 5:00:00 AM,5186,12 INTIMIDATION,TERRORISTIC THREATENING 3RD DEGREE 508.080 00822 13C,999,B,NO,2ND DIVISION,211,RESIDENCE/HOME,100 BLOCK S 36TH ST,LOUISVILLE,40212,53547
LMPD24040489,4/8/2024 5:27:00 PM,4/8/2024 5:27:00 PM,5039,9 AGGRAVATED ASSAULT,WANTON ENDANGERMENT-1ST DEGREE 508.060 13201 13A,13A,A,YES,1ST DIVISION,123,RESIDENCE/HOME,3200 BLOCK W KENTUCKY ST,LOUISVILLE,40210,53548
LMPD24040789,4/9/2024 1:15:00 PM,4/9/2024 1:15:00 PM,7823,11 SIMPLE ASSAULT,HARASSMENT - PHYSICAL CONTACT - NO INJURY 525.070 02407 13B,13B,A,YES,1ST DIVISION,123,HIGHWAY/ ROAD/ ALLEY/ STREET/ SIDEWALK,400 BLOCK S 2ND ST,LOUISVILLE,40202,53549
LMPD24043908,4/9/2024 5:00:00 AM,4/9/2024 5:00:00 AM,5186,9 AGGRAVATED ASSAULT,STRANGULATION 1ST DEGREE 508.170 13225 13A,13A,A,YES,2ND DIVISION,211,RESIDENCE/HOME,100 BLOCK S 36TH ST,LOUISVILLE,40212,53550
LMPD24900970,4/10/2024 12:25:00 AM,4/10/2024 12:25:00 AM,8185,18 SHOPLIFTING,TBUT OR DISP SHOPLIFTING 514.030 24230 23C,23C,A,YES,3RD DIVISION,323,GROCERY/ SUPERMARKET,100 BLOCK OUTER LOOP,LOUISVILLE,40214,53551
LMPD24040901,4/8/2024 11:00:00 PM,4/8/2024 11:00:00 PM,7739,22 THEFT MV PARTS,"TBUT PARTS FROM VEHICLE $1,000 < $10,000 514.030 24242 23G",23G,A,YES,6TH DIVISION,624,AUTO DEALERSHIP NEW/USED,4000 BLOCK BARDSTOWN RD,LOUISVILLE,40218,53552
LMPD24043908,4/9/2024 5:00:00 AM,4/9/2024 5:00:00 AM,5186,13 BURGLARY,BURGLARY - 1ST DEGREE 511.020 22060 220,220,A,YES,2ND DIVISION,211,RESIDENCE/HOME,100 BLOCK S 36TH ST,LOUISVILLE,40212,53553
LMPD24041058,4/10/2024 12:07:00 AM,4/10/2024 12:07:00 AM,5579,24 VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE 512.040 01403 290,290,A,YES,2ND DIVISION,234,RESIDENCE/HOME,1700 BLOCK RUSSELL LEE DR,LOUISVILLE,40211,53554
LMPD24040469,4/8/2024 4:56:00 PM,4/6/2024 5:00:00 PM,8611,21 THEFT FR VEH,"TBUT OR DISP CONTENTS FROM VEH $1,000 < $10,000 514.030 24142 23F",23F,A,YES,3RD DIVISION,322,RESIDENCE/HOME,6700 BLOCK CAROLYN RD,LOUISVILLE,40214,53555
LMPD24040781,4/9/2024 1:03:00 PM,4/5/2024 3:29:00 PM,8373,27 FRAUD,"THEFT BY FAIL TO MAKE REQ DISP OF PROPERTY $10,000 OR MORE 514.070(4)(c) 23496 26A",26A,A,YES,4TH DIVISION,423,HIGHWAY/ ROAD/ ALLEY/ STREET/ SIDEWALK,1700 BLOCK BERRY BLVD,LOUISVILLE,40215,53556
LMPD24040583,4/8/2024 10:50:00 PM,4/8/2024 10:00:00 PM,8544,23 THEFT OTHER,"THEFT OF PROP MISLAID OR DELIVER BY IMISTAKE $1000 < $10,000514.050(1)(b) 23476 23H",23H,A,YES,5TH DIVISION,512,PARKING/ DROP LOT/ GARAGE,1400 BLOCK WILLOW AVE,LOUISVILLE,40204,53557
LMPD24041020,4/9/2024 11:57:00 PM,4/9/2024 11:57:00 PM,5488,9 AGGRAVATED ASSAULT,ASSAULT - 2ND DEGREE 508.020 13160 13A,13A,A,YES,7TH DIVISION,711,OTHER RESIDENCE (APARTMENT/CONDO),4300 BLOCK DONERAIL RUN DR,LOUISVILLE,40299,53558
LMPD24040683,4/9/2024 4:43:00 AM,4/9/2024 4:43:00 AM,5406,34 NARCOTICS,POSS OF MARIJUANA 218A.1422 42330 35A,999,B,NO,1ST DIVISION,112,HIGHWAY/ ROAD/ ALLEY/ STREET/ SIDEWALK,S 26TH ST / MAGAZINE ST,LOUISVILLE,40211,53559
LMPD24040474,4/8/2024 4:51:00 PM,3/20/2024 5:00:00 PM,9553,14 AUTO THEFT,"TBUT OR DISP AUTO $500 < $1,000 514.030 24111 240",240,A,YES,2ND DIVISION,223,HIGHWAY/ ROAD/ ALLEY/ STREET/ SIDEWALK,3100 BLOCK GREENWOOD AVE,LOUISVILLE,40211,53560
LMPD24040781,4/9/2024 1:03:00 PM,4/10/2024 5:14:00 AM,8373,33 STOLEN PROPERTY,"RECEIVING STOLEN PROPERTY $10,000 OR MORE 514.110(3)(c) 28014 280",280,A,YES,4TH DIVISION,424,CONVENIENCE STORE,3000 BLOCK TAYLOR BLVD,LOUISVILLE,40208,53561
LMPD24040609,4/8/2024 10:42:00 PM,4/8/2024 10:42:00 PM,5451,24 VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE 512.040 01403 290,290,A,YES,2ND DIVISION,236,RESIDENCE/HOME,0 BLOCK MODERN WAY,LOUISVILLE,40216,53562
LMPD24041019,4/9/2024 11:45:00 PM,4/9/2024 11:45:00 PM,5471,11 SIMPLE ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY 508.030 00797 13B,13B,A,YES,7TH DIVISION,736,OTHER RESIDENCE (APARTMENT/CONDO),8200 BLOCK MINOR LN,LOUISVILLE,40219,53563
