INCIDENT_NUMBER,DATE_REPORTED,DATE_OCCURED,BADGE_ID,CRIME_TYPE,UOR_DESC,NIBRS_CODE,UCR_HIERARCHY,ATT_COMP,LMPD_DIVISION,LMPD_BEAT,PREMISE_TYPE,BLOCK_ADDRESS,City,ZIP_CODE,ObjectId
80-21-005967,2021-01-30 12:38:00,2021-01-30 12:30:00,7387            ,ROBBERY,ROBBERY - 2ND DEGREE,120,PART I,COMPLETED,2ND DIVISION,223,RESIDENCE / HOME                             ,800 BLOCK HAZEL ST                                          ,LOUISVILLE,40211,5795
80-21-005969,2021-01-30 13:24:00,2021-01-30 12:40:00,7292            ,ROBBERY,ROBBERY - 1ST DEGREE,120,PART I,COMPLETED,1ST DIVISION,123,HIGHWAY / ROAD / ALLEY                       ,0 BLOCK ARENA PLZ                                           ,LOUISVILLE,40202,5796
80-21-005970,2021-01-30 13:30:00,2021-01-29 19:30:00,5032            ,VANDALISM,CRIMINAL MISCHIEF-2ND DEGREE,290,PART II,COMPLETED,2ND DIVISION,234,HIGHWAY / ROAD / ALLEY                       ,1700 BLOCK WILLIAM E SUMMERS III AVE                        ,LOUISVILLE,40211,5797
80-21-005971,2021-01-30 13:21:00,2021-01-30 13:00:00,5312            ,ASSAULT,ASSAULT - 4TH DEGREE (NO VISIBLE INJURY),13B,PART II,COMPLETED,3RD DIVISION,315,RESIDENCE / HOME                             ,6600 BLOCK FALLING STAR DR                                  ,LOUISVILLE,40272,5798
80-21-005972,2021-01-30 13:05:00,2021-01-30 13:04:00,2764            ,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,13A,PART I,COMPLETED,1ST DIVISION,134,LIQUOR STORE                                 ,200 BLOCK E MARKET ST                                       ,LOUISVILLE,40202,5799
80-21-005972,2021-01-30 13:05:00,2021-01-30 13:04:00,2764            ,THEFT/LARCENY,TBUT OR DISP SHOPLIFTING < $500,23C,PART I,COMPLETED,1ST DIVISION,134,LIQUOR STORE                                 ,200 BLOCK E MARKET ST                                       ,LOUISVILLE,40202,5800
80-21-005973,2021-01-30 13:51:00,2021-01-30 13:15:00,8142            ,OTHER,LEAVING SCENE OF ACCIDENT/FAILURE TO RENDER AID OR ASSISTANC,999,,COMPLETED,7TH DIVISION,724,HIGHWAY / ROAD / ALLEY                       ,SMYRNA PKY / THEILER LN                                     ,LOUISVILLE,40229,5801
80-21-005974,2021-01-30 13:21:00,2021-01-30 13:21:00,5312            ,ASSAULT,WANTON ENDANGERMENT-2ND DEGREE,13C,PART II,COMPLETED,3RD DIVISION,315,RESIDENCE / HOME                             ,6600 BLOCK FALLING STAR DR                                  ,LOUISVILLE,40272,5802
80-21-005974,2021-01-30 13:21:00,2021-01-30 13:21:00,5312            ,ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,13B,PART II,COMPLETED,3RD DIVISION,315,RESIDENCE / HOME                             ,6600 BLOCK FALLING STAR DR                                  ,LOUISVILLE,40272,5803
80-21-005974,2021-01-30 13:21:00,2021-01-30 13:21:00,5312            ,OTHER,VIOLATION OF CONDITIONS OF RELEASE,90Z,PART II,COMPLETED,3RD DIVISION,315,RESIDENCE / HOME                             ,6600 BLOCK FALLING STAR DR                                  ,LOUISVILLE,40272,5804
80-21-005974,2021-01-30 13:21:00,2021-01-30 13:21:00,5312            ,ASSAULT,VIOLATION OF KENTUCKY EPO/DVO,90F,PART II,COMPLETED,3RD DIVISION,315,RESIDENCE / HOME                             ,6600 BLOCK FALLING STAR DR                                  ,LOUISVILLE,40272,5805
80-21-005975,2021-01-30 12:54:00,2021-01-30 12:48:00,7058            ,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,13A,PART I,COMPLETED,1ST DIVISION,134,HOTEL / MOTEL / ETC.                         ,100 BLOCK W MAIN ST                                         ,LOUISVILLE,40202,5806
80-21-005976,2021-01-30 14:09:00,2021-01-23 13:00:00,5195            ,BURGLARY,BURGLARY - 2ND DEGREE,220,PART I,COMPLETED,3RD DIVISION,334,RESIDENCE / HOME                             ,4600 BLOCK VALLEY STATION RD                                ,LOUISVILLE,40272,5807
80-21-005977,2021-01-30 14:16:00,2021-01-29 19:19:00,8142            ,THEFT/LARCENY,THEFT OF PROPERTY LOST/MISLAID/DELIVERED BY MISTAKE MISD,23H,PART I,COMPLETED,7TH DIVISION,711,"SPECIALTY STORE (TV, FUR, ETC)               ",5300 BLOCK BARDSTOWN RD                                     ,LOUISVILLE,40291,5808
80-21-005978,2021-01-30 14:18:00,2020-12-30 18:42:00,8440            ,THEFT/LARCENY,TBUT OR DISP SHOPLIFTING < $500,23C,PART I,COMPLETED,7TH DIVISION,735,"SPECIALTY STORE (TV, FUR, ETC)               ",4800 BLOCK OUTER LOOP                                       ,LOUISVILLE,40219,5809
80-21-005979,2021-01-30 14:26:00,2020-12-30 18:50:00,8440            ,THEFT/LARCENY,"TBUT OR DISP SHOPLIFTING $500 OR >  BUT < $10,000",23C,PART I,COMPLETED,7TH DIVISION,735,"SPECIALTY STORE (TV, FUR, ETC)               ",4800 BLOCK OUTER LOOP                                       ,LOUISVILLE,40219,5810
80-21-005980,2021-01-30 14:29:00,2021-01-30 08:00:00,8109            ,THEFT/LARCENY,TBUT OR DISP FROM BUILDING < $500,23D,PART I,COMPLETED,8TH DIVISION,811,OTHER RESIDENCE (APARTMENT/CONDO)            ,11800 BLOCK NANSEMOND PL                                    ,LOUISVILLE,40245,5811
80-21-005982,2021-01-30 14:46:00,2021-01-29 18:00:00,8006            ,VEHICLE BREAK-IN/THEFT,THEFT OF MOTOR VEHICLE REGISTRATION PLATE/DECAL,23G,PART I,COMPLETED,4TH DIVISION,424,RESIDENCE / HOME                             ,400 BLOCK M ST                                              ,LOUISVILLE,40208,5812
80-21-005983,2021-01-30 14:53:00,2021-01-30 01:00:00,5195            ,VEHICLE BREAK-IN/THEFT,THEFT OF MOTOR VEHICLE REGISTRATION PLATE/DECAL,23G,PART I,COMPLETED,8TH DIVISION,824,PARKING LOT / GARAGE                         ,12900 BLOCK PLANTSIDE DR                                    ,LOUISVILLE,40299,5813
80-21-005985,2021-01-30 15:03:00,2021-01-30 01:54:00,8050            ,VEHICLE BREAK-IN/THEFT,TBUT OR DISP CONTENTS FROM VEH < $500,23F,PART I,ATTEMPTED,7TH DIVISION,735,RESIDENCE / HOME                             ,8100 BLOCK RED CEDAR WAY                                    ,LOUISVILLE,40219,5814
80-21-006009,2021-01-30 16:08:00,2021-01-30 16:08:00,7334            ,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,13A,PART I,COMPLETED,4TH DIVISION,424,RESIDENCE / HOME                             ,4300 BLOCK SOUTHERN PKY                                     ,LOUISVILLE,40214,5815
80-21-005984,2021-01-30 14:53:00,2021-01-30 14:50:00,7468            ,ASSAULT,TERRORISTIC THREATENING 3RD DEGREE,13C,PART II,COMPLETED,4TH DIVISION,435,CYBERSPACE                                   ,4300 BLOCK LONSDALE AVE                                     ,LOUISVILLE,40215,5816
80-21-005984,2021-01-30 14:53:00,2021-01-30 14:50:00,7468            ,OTHER,HARASSING COMMUNICATIONS,90Z,PART II,COMPLETED,4TH DIVISION,435,CYBERSPACE                                   ,4300 BLOCK LONSDALE AVE                                     ,LOUISVILLE,40215,5817
80-21-005986,2021-01-30 15:45:00,2021-01-30 14:46:00,6937            ,THEFT/LARCENY,TBUT OR DISP SHOPLIFTING < $500,23C,PART I,COMPLETED,7TH DIVISION,723,DEPARTMENT / DISCOUNT STORE                  ,7100 BLOCK CEDAR SPRINGS BLVD                               ,LOUISVILLE,40291,5818
