ObjectId,INCIDENT_NUMBER,DATE_REPORTED,DATE_OCCURED,CRIME_TYPE,UOR_DESC,NIBRS_CODE,UCR_HIERARCHY,ATT_COMP,LMPD_DIVISION,LMPD_BEAT,PREMISE_TYPE,BLOCK_ADDRESS,City,ZIP_CODE
22108,80-19-028157,2019/04/20 22:50:00,2019/04/20 22:49:00,THEFT/LARCENY,TBUT OR DISP ALL OTHERS <  $500,23H,PART I,COMPLETED,3RD DIVISION,334,PARKING LOT / GARAGE                         ,4600 BLOCK VALLEY STATION RD                                ,LOUISVILLE,40272
22109,80-19-027596,2019/04/18 20:38:00,2019/04/18 20:30:00,OTHER,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT,90Z,PART II,COMPLETED,4TH DIVISION,412,RESIDENCE / HOME                             ,2000 BLOCK S PRESTON ST                                     ,LOUISVILLE,40217
22110,80-19-028105,2019/04/20 20:00:00,2019/04/20 18:50:00,ASSAULT,VIOLATION OF KENTUCKY EPO/DVO,90F,PART II,COMPLETED,2ND DIVISION,211,RESIDENCE / HOME                             ,100 BLOCK S LONGWORTH AVE                                   ,LOUISVILLE,40212
22111,80-19-028107,2019/04/20 20:05:00,2019/03/20 00:01:00,THEFT/LARCENY,TBUT OR DISP ALL OTHERS <  $500,23H,PART I,COMPLETED,8TH DIVISION,815,OTHER RESIDENCE (APARTMENT/CONDO)            ,600 BLOCK FENLEY AVE                                        ,LOUISVILLE,40222
22112,80-19-028158,2019/04/20 23:57:00,2019/04/20 13:59:00,FRAUD,"FRAUDULENT USE OF CREDIT CARDS U/$10,000",26B,PART II,COMPLETED,7TH DIVISION,735,MALL / SHOPPING CENTER                       ,4800 BLOCK OUTER LOOP                                       ,LOUISVILLE,40219
22113,80-19-028106,2019/04/20 18:20:00,2019/04/19 23:00:00,ASSAULT,ASSAULT - 4TH DEGREE (MINOR INJURY),13B,PART II,COMPLETED,8TH DIVISION,815,BAR / NIGHT CLUB                             ,8100 BLOCK NEW LA GRANGE RD                                 ,LOUISVILLE,40222
22114,80-19-027597,2019/04/18 20:30:00,2019/04/18 20:15:00,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,3RD DIVISION,316,RESIDENCE / HOME                             ,5400 BLOCK LOGWOOD AVE                                      ,LOUISVILLE,40272
22115,80-19-028159,2019/04/20 23:44:00,2019/04/20 23:40:00,ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,13B,PART II,COMPLETED,1ST DIVISION,123,RESIDENCE / HOME                             ,1000 BLOCK ESQUIRE ALY                                      ,LOUISVILLE,40203
22116,80-19-028108,2019/04/20 18:20:00,2019/04/20 15:00:00,ASSAULT,ASSAULT - 4TH DEGREE (MINOR INJURY),13B,PART II,COMPLETED,8TH DIVISION,815,BAR / NIGHT CLUB                             ,800 BLOCK LYNDON LN                                         ,LOUISVILLE,40222
22117,80-19-027598,2019/04/18 20:18:00,2019/04/18 20:18:00,ASSAULT,ASSAULT - 1ST DEGREE,13A,PART I,COMPLETED,2ND DIVISION,234,HIGHWAY / ROAD / ALLEY                       ,@4 I264W                                                    ,LOUISVILLE,40211
22118,80-19-028159,2019/04/20 23:44:00,2019/04/20 23:40:00,ASSAULT,TERRORISTIC THREATENING 3RD DEGREE,13C,PART II,COMPLETED,1ST DIVISION,123,RESIDENCE / HOME                             ,1000 BLOCK ESQUIRE ALY                                      ,LOUISVILLE,40203
22119,80-19-028159,2019/04/20 23:44:00,2019/04/20 23:40:00,ASSAULT,UNLAWFUL IMPRISONMENT-1ST DEGREE,100,PART II,COMPLETED,1ST DIVISION,123,RESIDENCE / HOME                             ,1000 BLOCK ESQUIRE ALY                                      ,LOUISVILLE,40203
22120,80-19-028163,2019/04/21 00:40:00,2019/04/21 00:20:00,VANDALISM,CRIMINAL MISCHIEF - 1ST DEGREE,290,PART II,COMPLETED,2ND DIVISION,211,HIGHWAY / ROAD / ALLEY                       ,S 39TH ST / W MARKET ST                                     ,LOUISVILLE,40212
22121,80-19-028163,2019/04/21 00:40:00,2019/04/21 00:20:00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,13A,PART I,COMPLETED,2ND DIVISION,211,HIGHWAY / ROAD / ALLEY                       ,S 39TH ST / W MARKET ST                                     ,LOUISVILLE,40212
22122,80-19-028165,2019/04/20 22:19:00,2019/04/20 17:00:00,BURGLARY,BURGLARY - 2ND DEGREE,220,PART I,COMPLETED,6TH DIVISION,613,RESIDENCE / HOME                             ,1500 BLOCK ALETHA DR                                        ,LOUISVILLE,40219
22123,80-19-028167,2019/04/21 01:23:00,2019/04/21 01:23:00,WEAPONS,CARRYING A CONCEALED DEADLY WEAPON,520,PART II,COMPLETED,4TH DIVISION,423,HIGHWAY / ROAD / ALLEY                       ,7TH STREET RD / BERRY BLVD                                  ,SHIVELY,40216
22124,80-19-028169,2019/04/21 01:38:00,2019/04/21 23:55:00,OTHER,MISSING PERSONS,90Z,PART II,COMPLETED,3RD DIVISION,334,RESIDENCE / HOME                             ,7900 BLOCK PRINCESS WOOD CT                                 ,LOUISVILLE,40214
22125,80-19-028170,2019/04/21 00:47:00,2019/04/21 00:00:00,ASSAULT,ASSAULT - 1ST DEGREE,13A,PART I,COMPLETED,METRO LOUISVILLE,METRO,OTHER / UNKNOWN                              ,COMMUNITY AT LARGE,LOUISVILLE,0
22126,80-19-028171,2019/04/21 01:30:00,2019/04/21 01:10:00,OTHER,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT,90Z,PART II,COMPLETED,1ST DIVISION,135,RESIDENCE / HOME                             ,400 BLOCK S WENZEL ST                                       ,LOUISVILLE,40204
22127,80-19-028175,2019/04/21 03:53:00,2019/04/21 03:53:00,DRUGS/ALCOHOL VIOLATIONS,POSS OF MARIJUANA,35A,PART II,COMPLETED,METRO LOUISVILLE,SHV,HIGHWAY / ROAD / ALLEY                       ,3400 BLOCK 7TH STREET RD                                    ,SHIVELY,40216
22128,80-19-028175,2019/04/21 03:53:00,2019/04/21 03:53:00,WEAPONS,POSSESSION OF HANDGUN BY CONVICTED FELON,520,PART II,COMPLETED,METRO LOUISVILLE,SHV,HIGHWAY / ROAD / ALLEY                       ,3400 BLOCK 7TH STREET RD                                    ,SHIVELY,40216
22129,80-19-028176,2019/04/21 05:03:00,2019/04/21 03:43:00,DRUGS/ALCOHOL VIOLATIONS,DRUG PARAPHERNALIA - BUY/POSSESS,35B,PART II,COMPLETED,7TH DIVISION,736,OTHER / UNKNOWN                              ,7000 BLOCK GRADE LN                                         ,LOUISVILLE,40213
22130,80-19-028176,2019/04/21 05:03:00,2019/04/21 03:43:00,DRUGS/ALCOHOL VIOLATIONS,TRAF CONT SUB-1ST DEGREE-1ST OFFENSE-LSD,35A,PART II,COMPLETED,7TH DIVISION,736,OTHER / UNKNOWN                              ,7000 BLOCK GRADE LN                                         ,LOUISVILLE,40213
22131,80-19-028176,2019/04/21 05:03:00,2019/04/21 03:43:00,DRUGS/ALCOHOL VIOLATIONS,TRAF IN MARIJUANA-LESS THAN 8 OZ-1ST OFFENSE,35A,PART II,COMPLETED,7TH DIVISION,736,OTHER / UNKNOWN                              ,7000 BLOCK GRADE LN                                         ,LOUISVILLE,40213
22132,80-19-028176,2019/04/21 05:03:00,2019/04/21 03:43:00,DRUGS/ALCOHOL VIOLATIONS,POSS OF MARIJUANA,35A,PART II,COMPLETED,7TH DIVISION,736,OTHER / UNKNOWN                              ,7000 BLOCK GRADE LN                                         ,LOUISVILLE,40213
22133,80-19-028179,2019/04/21 05:03:00,2019/04/21 05:00:00,OTHER,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT,90Z,PART II,COMPLETED,7TH DIVISION,735,RESIDENCE / HOME                             ,4900 BLOCK GLEN ROSE RD                                     ,LOUISVILLE,40229
22134,80-19-028180,2019/04/21 02:29:00,2019/04/21 02:28:00,WEAPONS,CARRYING A CONCEALED DEADLY WEAPON,520,PART II,COMPLETED,5TH DIVISION,512,HIGHWAY / ROAD / ALLEY                       ,BARDSTOWN RD / EASTERN PKY                                  ,LOUISVILLE,40204
22135,80-19-028180,2019/04/21 02:29:00,2019/04/21 02:28:00,FRAUD,OBSCURING THE IDENTITY OF A MACHINE U/$10000,26A,PART II,COMPLETED,5TH DIVISION,512,HIGHWAY / ROAD / ALLEY                       ,BARDSTOWN RD / EASTERN PKY                                  ,LOUISVILLE,40204
22136,80-19-028181,2019/04/21 05:15:00,2019/04/21 05:12:00,ASSAULT,"ASSAULT, 4TH DEGREE DATING VIOLENCE (MINOR INJURY)",13B,PART II,COMPLETED,8TH DIVISION,811,RESIDENCE / HOME                             ,10900 BLOCK KINGS CROWN DR                                  ,LOUISVILLE,40059
22137,80-19-028181,2019/04/21 05:15:00,2019/04/21 05:12:00,ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,13B,PART II,COMPLETED,8TH DIVISION,811,RESIDENCE / HOME                             ,10900 BLOCK KINGS CROWN DR                                  ,LOUISVILLE,40059
22138,80-19-028182,2019/04/21 06:20:00,2019/04/21 05:59:00,OTHER,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT,90Z,PART II,COMPLETED,1ST DIVISION,111,RESIDENCE / HOME                             ,1900 BLOCK BANK ST                                          ,LOUISVILLE,40203
22139,80-19-028185,2019/04/21 07:30:00,2019/04/21 07:00:00,MOTOR VEHICLE THEFT,"TBUT OR DISP AUTO > $500 BUT < $10,000",240,PART I,COMPLETED,6TH DIVISION,625,PARKING LOT / GARAGE                         ,3500 BLOCK FENWICK PARK PL                                  ,LOUISVILLE,40220
