INCIDENT_NUMBER,DATE_REPORTED,DATE_OCCURED,UOR_DESC,CRIME_TYPE,NIBRS_CODE,UCR_HIERARCHY,ATT_COMP,LMPD_DIVISION,LMPD_BEAT,PREMISE_TYPE,BLOCK_ADDRESS,CITY,ZIP_CODE,ID,ObjectId
80-09-070273,9/18/09 12:02 AM,8/14/09 9:00 AM,THEFT BY UNLAWFUL TAKING/DISP-AUTO - FELONY CLASS D,MOTOR VEHICLE THEFT,240,PART I,COMPLETED,7TH DIVISION,711,PARKING LOT / GARAGE,6000 BLOCK BARDSTOWN RD                                     ,LOUISVILLE,40291,498301,52127
80-09-067803,9/8/09 8:15 PM,9/8/09 8:15 PM,TRAF CONT SUB-1ST DEGREE-1ST OFFENSE-COCAINE,DRUGS/ALCOHOL VIOLATIONS,35A,PART II,COMPLETED,1ST DIVISION,135,HIGHWAY / ROAD / ALLEY,E BROADWAY                                                  ,LOUISVILLE,40202,498302,52128
80-09-070281,9/18/09 1:24 AM,2/1/09 12:42 AM,HARASSING COMMUNICATIONS,OTHER,90Z,PART II,COMPLETED,METRO LOUISVILLE,METRO,OTHER / UNKNOWN,COMMUNITY AT LARGE,LOUISVILLE,40056,498303,52129
80-09-070282,9/18/09 1:22 AM,9/15/09 11:00 AM,THEFT BY UNLAWFUL TAKING/DISP-ALL OTHERS - FELONY CLASS D,THEFT/LARCENY,23H,PART I,COMPLETED,7TH DIVISION,724,OTHER / UNKNOWN,7200 BLOCK BLACK WALNUT CIR                                 ,LOUISVILLE,40229,498304,52130
80-09-068397,9/10/09 5:46 PM,9/10/09 5:46 PM,POSS OF MARIJUANA,OTHER,999,PART II,COMPLETED,1ST DIVISION,112,HIGHWAY / ROAD / ALLEY,S 32ND ST                                                   ,LOUISVILLE,40212,498305,52131
80-09-068397,9/10/09 5:46 PM,9/10/09 5:46 PM,DRUG PARAPHERNALIA-BUY/POSSESS-1ST OFFENSE,DRUGS/ALCOHOL VIOLATIONS,35B,PART II,COMPLETED,1ST DIVISION,112,HIGHWAY / ROAD / ALLEY,S 32ND ST                                                   ,LOUISVILLE,40212,498306,52132
80-09-068436,9/10/09 8:07 PM,9/10/09 8:07 PM,POSS OF MARIJUANA,DRUGS/ALCOHOL VIOLATIONS,35A,PART II,COMPLETED,4TH DIVISION,412,RESIDENCE / HOME,600 BLOCK E JACOB ST                                        ,LVIL,40203,498307,52133
80-09-044991,6/20/09 4:07 PM,6/20/09 4:07 PM,POSS OF MARIJUANA,DRUGS/ALCOHOL VIOLATIONS,35A,PART II,COMPLETED,1ST DIVISION,112,OTHER / UNKNOWN,S 26TH ST / W MADISON ST                                    ,LVIL,40211,498308,52134
80-09-064259,8/26/09 7:16 PM,8/26/09 4:30 PM,THEFT BY UNLAWFUL TAKING/DISP-ALL OTHERS - FELONY CLASS D,THEFT/LARCENY,23H,PART I,COMPLETED,2ND DIVISION,211,FIELD / WOODS,400 BLOCK NORTHWESTERN PKY                                  ,LOUISVILLE,40212,485832,52135
80-09-064424,8/27/09 10:31 AM,8/27/09 10:31 AM,NON-CRIMINAL DEATH (NATURAL CAUSES),OTHER,90Z,PART II,COMPLETED,6TH DIVISION,613,RESIDENCE / HOME,100 BLOCK ROCK CLIFF CT                                     ,LOUISVILLE,40218,485833,52136
80-09-064422,8/27/09 11:37 AM,8/1/09 12:00 PM,"THEFT BY UNLAWFUL TAKING/DISP-AUTO $10,000 OR MORE",MOTOR VEHICLE THEFT,240,PART I,COMPLETED,METRO LOUISVILLE,STM,RESIDENCE / HOME,6600 BLOCK HUNTERS CREEK BLVD                               ,LOUISVILLE,40258,485834,52137
