INCIDENT_NUMBER,DATE_REPORTED,DATE_OCCURED,CRIME_TYPE,UOR_DESC,NIBRS_CODE,UCR_HIERARCHY,ATT_COMP,LMPD_DIVISION,LMPD_BEAT,PREMISE_TYPE,BLOCK_ADDRESS,City,ZIP_CODE,ObjectId
80-20-033456,2020-06-07 01:30:00,2020-06-07 01:19:00,ROBBERY,ROBBERY - 2ND DEGREE,120,PART I,COMPLETED,1ST DIVISION,112,HIGHWAY / ROAD / ALLEY                       ,S 15TH ST / W BROADWAY                                      ,LOUISVILLE,40203,28724
80-20-033457,2020-06-07 02:05:00,2020-06-07 01:54:00,ASSAULT,TERRORISTIC THREATENING 3RD DEGREE,13C,PART II,COMPLETED,3RD DIVISION,316,CONVENIENCE STORE                            ,11700 BLOCK DIXIE HWY                                       ,LOUISVILLE,40272,28725
80-20-033457,2020-06-07 02:05:00,2020-06-07 01:54:00,OTHER,HARASSING COMMUNICATIONS,90Z,PART II,COMPLETED,3RD DIVISION,316,CONVENIENCE STORE                            ,11700 BLOCK DIXIE HWY                                       ,LOUISVILLE,40272,28726
80-20-033458,2020-06-07 02:36:00,2020-06-07 00:53:00,ASSAULT,TERRORISTIC THREATENING 3RD DEGREE,13C,PART II,COMPLETED,3RD DIVISION,316,"SPECIALTY STORE (TV, FUR, ETC)               ",12700 BLOCK DIXIE HWY                                       ,LOUISVILLE,40272,28727
80-20-033458,2020-06-07 02:36:00,2020-06-07 00:53:00,VANDALISM,CRIMINAL MISCHIEF - 1ST DEGREE,290,PART II,COMPLETED,3RD DIVISION,316,"SPECIALTY STORE (TV, FUR, ETC)               ",12700 BLOCK DIXIE HWY                                       ,LOUISVILLE,40272,28728
80-20-033460,2020-06-07 02:30:00,2020-06-07 01:44:00,OTHER,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT,90Z,PART II,COMPLETED,1ST DIVISION,111,RESIDENCE / HOME                             ,2600 BLOCK W MARKET ST                                      ,LOUISVILLE,40212,28729
80-20-033461,2020-06-07 02:51:00,2020-06-07 01:40:00,MOTOR VEHICLE THEFT,"TBUT OR DISP AUTO > $500 BUT < $10,000",240,PART I,COMPLETED,2ND DIVISION,212,PARKING LOT / GARAGE                         ,3500 BLOCK W BROADWAY                                       ,LOUISVILLE,40211,28730
80-20-033464,2020-06-07 02:20:00,2020-06-07 02:15:00,OTHER,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT,90Z,PART II,COMPLETED,6TH DIVISION,613,OTHER RESIDENCE (APARTMENT/CONDO)            ,5200 BLOCK ROBINWOOD RD                                     ,LOUISVILLE,40218,28731
80-20-033470,2020-06-07 04:00:00,2020-06-07 03:46:00,OTHER,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT,90Z,PART II,COMPLETED,2ND DIVISION,223,RESIDENCE / HOME                             ,800 BLOCK S 32ND ST                                         ,LOUISVILLE,40211,28732
80-20-033472,2020-06-07 04:31:00,2020-06-07 04:30:00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,13A,PART I,COMPLETED,4TH DIVISION,436,RESIDENCE / HOME                             ,4900 BLOCK S 2ND ST                                         ,LOUISVILLE,40214,28733
80-20-033471,2020-06-07 02:43:00,2020-06-07 02:43:00,ASSAULT,ASSAULT - 1ST DEGREE,13A,PART I,COMPLETED,2ND DIVISION,223,HIGHWAY / ROAD / ALLEY                       ,S 32ND ST / W KENTUCKY ST                                   ,LOUISVILLE,40211,28734
