INCIDENT_NUMBER,DATE_REPORTED,DATE_OCCURED,CRIME_TYPE,UOR_DESC,NIBRS_CODE,UCR_HIERARCHY,ATT_COMP,LMPD_DIVISION,LMPD_BEAT,PREMISE_TYPE,BLOCK_ADDRESS,City,ZIP_CODE,ObjectId
80-20-058840,2020-10-03 15:11:00,2020-10-02 23:00:00,THEFT/LARCENY,TBUT OR DISP FIREARM,23H,PART I,COMPLETED,3RD DIVISION,331,OTHER RESIDENCE (APARTMENT/CONDO)            ,2800 BLOCK DE MEL AVE                                       ,LOUISVILLE,40214,52681
80-20-058840,2020-10-03 15:11:00,2020-10-02 23:00:00,VEHICLE BREAK-IN/THEFT,TBUT OR DISP CONTENTS FROM VEH < $500,23F,PART I,COMPLETED,3RD DIVISION,331,OTHER RESIDENCE (APARTMENT/CONDO)            ,2800 BLOCK DE MEL AVE                                       ,LOUISVILLE,40214,52682
80-20-058839,2020-10-03 14:09:00,2020-10-03 14:09:00,OTHER,SUICIDE,999,PART II,COMPLETED,1ST DIVISION,123,RESIDENCE / HOME                             ,400 BLOCK S 8TH ST                                          ,LOUISVILLE,40203,52683
80-20-058841,2020-10-03 15:31:00,2020-10-03 14:20:00,THEFT/LARCENY,"TBUT OR DISP SHOPLIFTING $500 OR >  BUT < $10,000",23C,PART I,COMPLETED,7TH DIVISION,724,DEPARTMENT / DISCOUNT STORE                  ,12000 BLOCK STANDIFORD PLAZA DR                             ,LOUISVILLE,40229,52684
80-20-058842,2020-10-03 14:35:00,2020-10-03 14:29:00,OTHER,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT,90Z,PART II,COMPLETED,6TH DIVISION,625,RESIDENCE / HOME                             ,9400 BLOCK DORAL CT                                         ,LOUISVILLE,40220,52685
80-20-058844,2020-10-03 15:55:00,2020-10-03 15:00:00,ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,13B,PART II,COMPLETED,7TH DIVISION,736,RESIDENCE / HOME                             ,3900 BLOCK BRITT LN                                         ,LOUISVILLE,40219,52686
80-20-058845,2020-10-03 15:37:00,2020-09-01 00:00:00,VEHICLE BREAK-IN/THEFT,THEFT OF MOTOR VEHICLE REGISTRATION PLATE/DECAL,23G,PART I,COMPLETED,7TH DIVISION,712,RESIDENCE / HOME                             ,13200 BLOCK SOLAR CT                                        ,LOUISVILLE,40291,52687
80-20-058847,2020-10-03 16:15:00,2020-10-03 08:30:00,MOTOR VEHICLE THEFT,TBUT OR DISP AUTO < $500,240,PART I,COMPLETED,1ST DIVISION,123,PARKING LOT / GARAGE                         ,600 BLOCK S 3RD ST                                          ,LOUISVILLE,40202,52688
80-20-058849,2020-10-03 15:43:00,2020-10-02 10:00:00,VEHICLE BREAK-IN/THEFT,TBUT OR DISP PARTS FROM VEHICLE < $500,23G,PART I,COMPLETED,1ST DIVISION,111,HIGHWAY / ROAD / ALLEY                       ,@I264W TO I64E WE                                           ,LOUISVILLE,40212,52689
80-20-058849,2020-10-03 15:43:00,2020-10-02 10:00:00,VEHICLE BREAK-IN/THEFT,"TBUT OR DISP CONTENTS FROM VEH $500 OR > BUT < $10,000",23F,PART I,COMPLETED,1ST DIVISION,111,HIGHWAY / ROAD / ALLEY                       ,@I264W TO I64E WE                                           ,LOUISVILLE,40212,52690
80-20-058851,2020-10-03 16:20:00,2020-09-25 16:20:00,THEFT/LARCENY,"TBUT OR DISP FROM BLDG $500 OR > BUT < $10,000",23D,PART I,COMPLETED,3RD DIVISION,323,RESIDENCE / HOME                             ,700 BLOCK SINCLAIR ST                                       ,LOUISVILLE,40118,52691
80-20-058850,2020-10-03 17:05:00,2020-10-03 16:10:00,OTHER,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT,90Z,PART II,COMPLETED,2ND DIVISION,211,HIGHWAY / ROAD / ALLEY                       ,4500 BLOCK W BROADWAY                                       ,LOUISVILLE,40211,52692
80-20-058852,2020-10-03 16:15:00,2020-10-03 16:00:00,ASSAULT,TERRORISTIC THREATENING 3RD DEGREE,13C,PART II,COMPLETED,3RD DIVISION,316,RESIDENCE / HOME                             ,6800 BLOCK LANDSTAR DR                                      ,LOUISVILLE,40272,52693
80-20-058972,2020-10-04 08:40:00,2020-10-04 05:00:00,SEX CRIMES,SEXUAL ABUSE - 1ST DEGREE,11D,PART II,COMPLETED,3RD DIVISION,322,RESIDENCE / HOME                             ,100 BLOCK FREEMAN AVE                                       ,LOUISVILLE,40214,52694
80-20-058920,2020-10-04 00:37:00,2020-10-04 00:01:00,DRUGS/ALCOHOL VIOLATIONS,POSS CONTROLLED SUB 1ST DEGREE 1ST OFF (METHAMPHETAMINE),35A,PART II,COMPLETED,5TH DIVISION,521,OTHER RESIDENCE (APARTMENT/CONDO)            ,600 BLOCK N HITE AVE                                        ,LOUISVILLE,40206,52695
80-20-058974,2020-10-04 09:13:00,2020-10-04 08:55:00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,13A,PART I,COMPLETED,6TH DIVISION,613,RESIDENCE / HOME                             ,5700 BLOCK RIDGECREST RD                                    ,LOUISVILLE,40218,52696
80-20-059085,2020-10-04 20:43:00,2020-10-04 19:20:00,OTHER,MISSING PERSONS,90Z,PART II,COMPLETED,6TH DIVISION,611,RESIDENCE / HOME                             ,2400 BLOCK CRITTENDEN DR                                    ,LOUISVILLE,40217,52697
80-20-058921,2020-10-04 00:27:00,2020-10-04 00:09:00,ASSAULT,HARASSMENT - PHYSICAL CONTACT - NO INJURY,13B,PART II,COMPLETED,7TH DIVISION,735,OTHER RESIDENCE (APARTMENT/CONDO)            ,3000 BLOCK JEFFERSON GREEN DR                               ,LOUISVILLE,40219,52698
80-20-058975,2020-10-04 10:36:00,2020-10-04 09:27:00,DRUGS/ALCOHOL VIOLATIONS,DRUG PARAPHERNALIA - BUY/POSSESS,35B,PART II,COMPLETED,4TH DIVISION,435,HIGHWAY / ROAD / ALLEY                       ,LEHIGH AVE / TAYLOR BLVD                                    ,LOUISVILLE,40215,52699
80-20-059087,2020-10-04 20:43:00,2020-10-04 19:20:00,OTHER,MISSING PERSONS,90Z,PART II,COMPLETED,6TH DIVISION,611,RESIDENCE / HOME                             ,2400 BLOCK CRITTENDEN DR                                    ,LOUISVILLE,40217,52700
80-20-059088,2020-10-04 20:43:00,2020-10-04 19:20:00,OTHER,MISSING PERSONS,90Z,PART II,COMPLETED,6TH DIVISION,611,RESIDENCE / HOME                             ,2400 BLOCK CRITTENDEN DR                                    ,LOUISVILLE,40217,52701
80-20-059089,2020-10-04 19:47:00,2020-10-04 19:46:00,OTHER,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT,90Z,PART II,COMPLETED,3RD DIVISION,323,RESIDENCE / HOME                             ,1300 BLOCK BLACKBERRY DR                                    ,LOUISVILLE,40272,52702
80-20-059090,2020-10-04 20:55:00,2020-10-04 20:45:00,ASSAULT,STRANGULATION 1ST DEGREE,13A,PART I,COMPLETED,4TH DIVISION,412,OTHER RESIDENCE (APARTMENT/CONDO)            ,400 BLOCK FINZER ST                                         ,LOUISVILLE,40203,52703
80-20-059094,2020-10-04 21:47:00,2020-10-03 21:30:00,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,6TH DIVISION,624,HIGHWAY / ROAD / ALLEY                       ,300 BLOCK COUNTRY ACRES                                     ,LOUISVILLE,40218,52704
80-20-059095,2020-10-04 21:49:00,2020-10-04 19:30:00,OTHER,MISSING PERSONS,90Z,PART II,COMPLETED,6TH DIVISION,611,RESIDENCE / HOME                             ,2400 BLOCK CRITTENDEN DR                                    ,LOUISVILLE,40217,52705
80-20-059097,2020-10-04 22:13:00,2020-10-04 21:56:00,OTHER,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT,90Z,PART II,COMPLETED,4TH DIVISION,423,HIGHWAY / ROAD / ALLEY                       ,CENTRAL AVE / LINDBERGH DR                                  ,LOUISVILLE,40208,52706
80-20-059100,2020-10-04 22:40:00,2020-10-04 22:14:00,BURGLARY,BURGLARY - 3RD DEGREE,220,PART I,COMPLETED,3RD DIVISION,323,"SPECIALTY STORE (TV, FUR, ETC)               ",3100 BLOCK POND STATION RD                                  ,LOUISVILLE,40272,52707
80-20-059101,2020-10-04 22:38:00,2020-10-04 22:20:00,OTHER,HARASSING COMMUNICATIONS,90Z,PART II,COMPLETED,2ND DIVISION,236,CYBERSPACE                                   ,4500 BLOCK CANE RUN RD                                      ,LOUISVILLE,40216,52708
80-20-059102,2020-10-04 22:50:00,2020-10-04 22:45:00,OTHER,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT,90Z,PART II,COMPLETED,4TH DIVISION,411,RESIDENCE / HOME                             ,1000 BLOCK S 2ND ST                                         ,LOUISVILLE,40203,52709
80-20-059103,2020-10-04 22:57:00,2020-10-04 22:50:00,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,1ST DIVISION,123,HIGHWAY / ROAD / ALLEY                       ,S 9TH ST / W BROADWAY                                       ,LOUISVILLE,40203,52710
80-20-059103,2020-10-04 22:57:00,2020-10-04 22:50:00,DRUGS/ALCOHOL VIOLATIONS,DRUG PARAPHERNALIA - BUY/POSSESS,35B,PART II,COMPLETED,1ST DIVISION,123,HIGHWAY / ROAD / ALLEY                       ,S 9TH ST / W BROADWAY                                       ,LOUISVILLE,40203,52711
80-20-059103,2020-10-04 22:57:00,2020-10-04 22:50:00,DRUGS/ALCOHOL VIOLATIONS,POSS CONTROLLED SUB 1ST DEGREE 1ST OFF (METHAMPHETAMINE),35A,PART II,COMPLETED,1ST DIVISION,123,HIGHWAY / ROAD / ALLEY                       ,S 9TH ST / W BROADWAY                                       ,LOUISVILLE,40203,52712
80-20-059104,2020-10-04 23:13:00,2020-10-04 23:10:00,ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,13B,PART II,COMPLETED,1ST DIVISION,112,RESIDENCE / HOME                             ,400 BLOCK S 20TH ST                                         ,LOUISVILLE,40203,52713
80-20-059105,2020-10-04 22:55:00,2020-10-04 22:45:00,OTHER,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT,90Z,PART II,COMPLETED,1ST DIVISION,135,RESIDENCE / HOME                             ,600 BLOCK E LIBERTY ST                                      ,LOUISVILLE,40202,52714
80-20-059106,2020-10-04 23:50:00,2020-10-04 23:45:00,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,1ST DIVISION,135,PARKING LOT / GARAGE                         ,500 BLOCK S JACKSON ST                                      ,LOUISVILLE,40202,52715
80-20-059107,2020-10-04 23:51:00,2020-10-04 23:35:00,ROBBERY,ROBBERY - 1ST DEGREE,120,PART I,COMPLETED,3RD DIVISION,322,PARKING LOT / GARAGE                         ,5300 BLOCK S 3RD ST                                         ,LOUISVILLE,40214,52716
80-20-059108,2020-10-04 23:25:00,2020-10-04 23:16:00,OTHER,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT,90Z,PART II,COMPLETED,4TH DIVISION,423,OTHER / UNKNOWN                              ,800 BLOCK DRESDEN AVE                                       ,LOUISVILLE,40215,52717
80-20-059109,2020-10-05 01:01:00,2020-10-04 21:30:00,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,5TH DIVISION,512,RESIDENCE / HOME                             ,500 BLOCK PINE ST                                           ,LOUISVILLE,40204,52718
80-20-059111,2020-10-05 00:03:00,2020-10-05 00:03:00,ASSAULT,TERRORISTIC THREATENING 3RD DEGREE,13C,PART II,COMPLETED,4TH DIVISION,423,RESIDENCE / HOME                             ,3700 BLOCK WARREN AVE                                       ,LOUISVILLE,40215,52719
80-20-059112,2020-10-05 01:26:00,2020-10-05 01:26:00,ROBBERY,ROBBERY - 1ST DEGREE,120,PART I,COMPLETED,4TH DIVISION,412,HIGHWAY / ROAD / ALLEY                       ,E OAK ST / REUTLINGER AVE                                   ,LOUISVILLE,40204,52720
80-20-059113,2020-10-05 01:27:00,2020-10-05 01:25:00,OTHER,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT,90Z,PART II,COMPLETED,6TH DIVISION,625,RESIDENCE / HOME                             ,200 BLOCK BRECKINRIDGE SQ                                   ,LOUISVILLE,40220,52721
80-20-059114,2020-10-05 01:17:00,2020-10-05 00:50:00,THEFT/LARCENY,TBUT OR DISP SHOPLIFTING < $500,23C,PART I,COMPLETED,5TH DIVISION,514,SERVICE / GAS STATION                        ,2900 BLOCK BARDSTOWN RD                                     ,LOUISVILLE,40205,52722
80-20-059115,2020-10-05 02:23:00,2020-10-05 01:45:00,VANDALISM,CRIMINAL MISCHIEF-2ND DEGREE,290,PART II,COMPLETED,2ND DIVISION,225,HIGHWAY / ROAD / ALLEY                       ,S 13TH ST / W HILL ST                                       ,LOUISVILLE,40210,52723
80-20-059115,2020-10-05 02:23:00,2020-10-05 01:45:00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,13A,PART I,COMPLETED,2ND DIVISION,225,HIGHWAY / ROAD / ALLEY                       ,S 13TH ST / W HILL ST                                       ,LOUISVILLE,40210,52724
80-20-059116,2020-10-05 02:08:00,2020-10-05 01:45:00,ASSAULT,ASSAULT - 4TH DEGREE (MINOR INJURY),13B,PART II,COMPLETED,6TH DIVISION,612,RESIDENCE / HOME                             ,3100 BLOCK CHINQUAPIN LN                                    ,LOUISVILLE,40219,52725
80-20-059117,2020-10-04 22:53:00,2020-10-04 14:00:00,OTHER,MISSING PERSONS,90Z,PART II,COMPLETED,4TH DIVISION,424,RESIDENCE / HOME                             ,4400 BLOCK S BROOK ST                                       ,LOUISVILLE,40214,52726
80-20-059118,2020-10-05 03:05:00,2020-10-05 02:15:00,ROBBERY,ROBBERY - 1ST DEGREE,120,PART I,COMPLETED,3RD DIVISION,331,PARKING LOT / GARAGE                         ,6200 BLOCK LEDGEWOOD PKY                                    ,LOUISVILLE,40214,52727
80-20-059119,2020-10-05 03:40:00,2020-10-05 03:05:00,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,2ND DIVISION,236,CONVENIENCE STORE                            ,4100 BLOCK CANE RUN RD                                      ,LOUISVILLE,40216,52728
80-20-059120,2020-10-05 03:04:00,2020-10-05 03:04:00,BURGLARY,BURGLARY - 3RD DEGREE,220,PART I,COMPLETED,2ND DIVISION,211,CONVENIENCE STORE                            ,3800 BLOCK W MARKET ST                                      ,LOUISVILLE,40212,52729
80-20-059121,2020-10-05 04:11:00,2020-10-05 03:42:00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,13A,PART I,COMPLETED,2ND DIVISION,211,RESIDENCE / HOME                             ,4400 BLOCK ELLIOTT AVE                                      ,LOUISVILLE,40211,52730
80-20-059122,2020-10-05 04:31:00,2020-09-29 06:00:00,MOTOR VEHICLE THEFT,"TBUT OR DISP AUTO > $500 BUT < $10,000",240,PART I,COMPLETED,3RD DIVISION,322,HIGHWAY / ROAD / ALLEY                       ,5300 BLOCK BUCKNER AVE                                      ,LOUISVILLE,40214,52731
80-20-059123,2020-10-05 04:16:00,2020-10-05 03:57:00,ASSAULT,ASSAULT - 2ND DEGREE,13A,PART I,COMPLETED,1ST DIVISION,112,RESIDENCE / HOME                             ,2600 BLOCK W MADISON ST                                     ,LOUISVILLE,40211,52732
80-20-059125,2020-10-05 04:55:00,2020-10-05 04:45:00,ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,13B,PART II,COMPLETED,3RD DIVISION,334,RESIDENCE / HOME                             ,9600 BLOCK LAMBORNE BLVD                                    ,LOUISVILLE,40272,52733
80-20-058975,2020-10-04 10:36:00,2020-10-04 09:27:00,DRUGS/ALCOHOL VIOLATIONS,POSS CONTROLLED SUB 1ST DEGREE 1ST OFF (METHAMPHETAMINE),35A,PART II,COMPLETED,4TH DIVISION,435,HIGHWAY / ROAD / ALLEY                       ,LEHIGH AVE / TAYLOR BLVD                                    ,LOUISVILLE,40215,52734
80-20-058976,2020-10-04 09:56:00,2020-10-03 22:00:00,VEHICLE BREAK-IN/THEFT,TBUT OR DISP CONTENTS FROM VEH < $500,23F,PART I,ATTEMPTED,7TH DIVISION,711,PARKING LOT / GARAGE                         ,9700 BLOCK HAWKINS RILL CT                                  ,LOUISVILLE,40291,52735
80-20-058923,2020-10-04 00:39:00,2020-10-04 00:20:00,ASSAULT,ASSAULT - 4TH DEGREE (MINOR INJURY),13B,PART II,COMPLETED,3RD DIVISION,334,RESIDENCE / HOME                             ,8500 BLOCK STANDING OAK DR                                  ,LOUISVILLE,40258,52736
80-20-058978,2020-10-04 09:55:00,2020-10-02 00:01:00,MOTOR VEHICLE THEFT,"TBUT OR DISP AUTO > $500 BUT < $10,000",240,PART I,COMPLETED,7TH DIVISION,735,PARKING LOT / GARAGE                         ,8500 BLOCK APPLEGATE VILLAGE DR                             ,LOUISVILLE,40219,52737
80-20-058979,2020-10-04 09:40:00,2020-10-04 08:56:00,DRUGS/ALCOHOL VIOLATIONS,DRUG PARAPHERNALIA - BUY/POSSESS,35B,PART II,COMPLETED,5TH DIVISION,514,HIGHWAY / ROAD / ALLEY                       ,I264E AT NEWBURG RD                                         ,LOUISVILLE,40218,52738
80-20-058924,2020-10-04 00:52:00,2020-10-04 00:26:00,ASSAULT,HARASSMENT - PHYSICAL CONTACT - NO INJURY,13B,PART II,COMPLETED,3RD DIVISION,331,RESIDENCE / HOME                             ,5200 BLOCK FORAKER CIR                                      ,LOUISVILLE,40216,52739
80-20-058979,2020-10-04 09:40:00,2020-10-04 08:56:00,DRUGS/ALCOHOL VIOLATIONS,POSSESSION  OF SYNTHETIC DRUGS 1ST OFFENSE,35A,PART II,COMPLETED,5TH DIVISION,514,HIGHWAY / ROAD / ALLEY                       ,I264E AT NEWBURG RD                                         ,LOUISVILLE,40218,52740
80-20-058925,2020-10-04 01:10:00,2020-10-04 00:25:00,DRUGS/ALCOHOL VIOLATIONS,POSS OF MARIJUANA,35A,PART II,COMPLETED,4TH DIVISION,412,HIGHWAY / ROAD / ALLEY                       ,E OAK ST / SCHILLER AVE                                     ,LOUISVILLE,40204,52741
80-20-058980,2020-10-04 09:44:00,2020-10-04 09:40:00,OTHER,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT,90Z,PART II,COMPLETED,4TH DIVISION,436,RESIDENCE / HOME                             ,4900 BLOCK S 3RD ST                                         ,LOUISVILLE,40214,52742
80-20-058928,2020-10-04 01:13:00,2020-10-04 01:00:00,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,4TH DIVISION,412,RESIDENCE / HOME                             ,500 BLOCK RAWLINGS ST                                       ,LOUISVILLE,40217,52743
80-20-058931,2020-10-04 01:54:00,2020-10-04 00:57:00,ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,13B,PART II,COMPLETED,3RD DIVISION,316,RESIDENCE / HOME                             ,6400 BLOCK MANOR VIEW CIR                                   ,LOUISVILLE,40272,52744
80-20-058932,2020-10-04 06:36:00,2020-10-03 17:30:00,MOTOR VEHICLE THEFT,"TBUT OR DISP AUTO > $500 BUT < $10,000",240,PART I,COMPLETED,4TH DIVISION,411,RESIDENCE / HOME                             ,900 BLOCK S 7TH ST                                          ,LOUISVILLE,40203,52745
80-20-058932,2020-10-04 06:36:00,2020-10-03 17:30:00,THEFT/LARCENY,"RECEIVING STOLEN PROPERTY U/$10,000",280,PART II,COMPLETED,4TH DIVISION,411,HIGHWAY / ROAD / ALLEY                       ,900 BLOCK S 7TH ST                                          ,LOUISVILLE,40203,52746
80-20-058936,2020-10-04 01:51:00,2020-10-04 01:40:00,ASSAULT,ASSAULT - 4TH DEGREE (MINOR INJURY),13B,PART II,COMPLETED,4TH DIVISION,424,RESIDENCE / HOME                             ,500 BLOCK WINKLER AVE                                       ,LOUISVILLE,40208,52747
80-20-058937,2020-10-04 00:55:00,2020-10-04 00:35:00,BURGLARY,BURGLARY - 3RD DEGREE,220,PART I,COMPLETED,2ND DIVISION,234,GROCERY / SUPERMARKET                        ,3000 BLOCK WILSON AVE                                       ,LOUISVILLE,40211,52748
80-20-058938,2020-10-03 02:20:00,2020-10-03 17:00:00,OTHER,MISSING PERSONS,90Z,PART II,COMPLETED,7TH DIVISION,736,RESIDENCE / HOME                             ,8700 BLOCK BOST LN                                          ,LOUISVILLE,40219,52749
80-20-058939,2020-10-04 02:00:00,2020-10-04 01:59:00,MOTOR VEHICLE THEFT,UNAUTHORIZED USE OF MOTOR VEHICLE 1ST OFFENSE,240,PART I,COMPLETED,8TH DIVISION,811,RESIDENCE / HOME                             ,10400 BLOCK SHADOW RIDGE LN                                 ,LOUISVILLE,40241,52750
80-20-058939,2020-10-04 02:00:00,2020-10-04 01:59:00,THEFT/LARCENY,TBUT OR DISP FROM BUILDING < $500,23D,PART I,COMPLETED,8TH DIVISION,811,RESIDENCE / HOME                             ,10400 BLOCK SHADOW RIDGE LN                                 ,LOUISVILLE,40241,52751
80-20-058941,2020-10-04 01:59:00,2020-10-03 22:00:00,FRAUD,FRAUD USE OF CREDIT CARD AFTER REPT LOST/STOLEN U/$500 MISD,26B,PART II,COMPLETED,8TH DIVISION,811,OTHER / UNKNOWN                              ,10400 BLOCK SHADOW RIDGE LN                                 ,LOUISVILLE,40241,52752
80-20-058942,2020-10-04 02:30:00,2020-10-04 02:00:00,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,3RD DIVISION,331,RESIDENCE / HOME                             ,5600 BLOCK FOX HORN CIR                                     ,LOUISVILLE,40216,52753
80-20-058943,2020-10-04 03:33:00,2020-10-04 02:46:00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,13A,PART I,COMPLETED,7TH DIVISION,711,RESIDENCE / HOME                             ,10400 BLOCK BROOKRIDGE VILLAGE BLVD                         ,LOUISVILLE,40291,52754
80-20-058944,2020-10-04 03:00:00,2020-10-04 02:40:00,MOTOR VEHICLE THEFT,"TBUT OR DISP AUTO > $500 BUT < $10,000",240,PART I,COMPLETED,6TH DIVISION,611,PARKING LOT / GARAGE                         ,1800 BLOCK TAYLOR AVE                                       ,LOUISVILLE,40213,52755
80-20-058945,2020-10-04 03:00:00,2020-10-04 02:40:00,DRUGS/ALCOHOL VIOLATIONS,POSS CONTROLLED SUB 1ST DEGREE 1ST OFF (METHAMPHETAMINE),35A,PART II,COMPLETED,6TH DIVISION,611,HIGHWAY / ROAD / ALLEY                       ,1800 BLOCK TAYLOR AVE                                       ,LOUISVILLE,40213,52756
80-20-058946,2020-10-04 03:15:00,2020-10-04 03:10:00,ROBBERY,ROBBERY - 1ST DEGREE,120,PART I,COMPLETED,2ND DIVISION,212,RESIDENCE / HOME                             ,S 38TH ST / GRAND AVE                                       ,LOUISVILLE,40211,52757
80-20-058947,2020-10-04 03:23:00,2020-10-03 22:30:00,MOTOR VEHICLE THEFT,"TBUT OR DISP AUTO > $10,000 BUT < $1,000,000",240,PART I,COMPLETED,2ND DIVISION,225,PARKING LOT / GARAGE                         ,1700 BLOCK PATTON CT                                        ,LOUISVILLE,40210,52758
80-20-058948,2020-10-04 02:39:00,2020-10-04 02:17:00,ASSAULT,VIOLATION OF KENTUCKY EPO/DVO,90F,PART II,COMPLETED,4TH DIVISION,423,OTHER / UNKNOWN                              ,700 BLOCK DRESDEN AVE                                       ,LOUISVILLE,40215,52759
80-20-058949,2020-10-04 03:35:00,2020-10-04 03:35:00,OTHER,OFFICER NEEDS TO COMPLETE INCIDENT REPORT,999,,COMPLETED,6TH DIVISION,625,OTHER / UNKNOWN                              ,3700 BLOCK TYANNE PL                                        ,LOUISVILLE,40220,52760
80-20-058950,2020-10-04 03:56:00,2020-10-04 03:45:00,MOTOR VEHICLE THEFT,"TBUT OR DISP AUTO > $10,000 BUT < $1,000,000",240,PART I,COMPLETED,1ST DIVISION,112,HIGHWAY / ROAD / ALLEY                       ,2300 BLOCK W MUHAMMAD ALI BLVD                              ,LOUISVILLE,40212,52761
80-20-058951,2020-10-04 04:10:00,2020-10-04 03:54:00,VANDALISM,CRIMINAL MISCHIEF - 1ST DEGREE,290,PART II,COMPLETED,1ST DIVISION,111,HIGHWAY / ROAD / ALLEY                       ,N 31ST ST / BANK ST                                         ,LOUISVILLE,40212,52762
80-20-058953,2020-10-04 04:25:00,2020-10-04 04:00:00,BURGLARY,BURGLARY - 2ND DEGREE,220,PART I,COMPLETED,4TH DIVISION,424,RESIDENCE / HOME                             ,2800 BLOCK S 3RD ST                                         ,LOUISVILLE,40208,52763
80-20-058954,2020-10-04 03:52:00,2020-10-04 03:30:00,ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,13B,PART II,COMPLETED,4TH DIVISION,436,RESIDENCE / HOME                             ,1000 BLOCK LYNNHURST AVE                                    ,LOUISVILLE,40215,52764
80-20-058954,2020-10-04 03:52:00,2020-10-04 03:30:00,ASSAULT,ENDANGERING THE WELFARE OF A MINOR,90F,PART II,COMPLETED,4TH DIVISION,436,RESIDENCE / HOME                             ,1000 BLOCK LYNNHURST AVE                                    ,LOUISVILLE,40215,52765
80-20-058957,2020-10-04 00:58:00,2020-10-04 05:51:00,ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,13B,PART II,COMPLETED,6TH DIVISION,612,HIGHWAY / ROAD / ALLEY                       ,GUARDIAN CT / LACLEDE LN                                    ,LOUISVILLE,40219,52766
80-20-058958,2020-10-04 06:35:00,2020-10-04 06:28:00,DISTURBING THE PEACE,CRIMINAL TRESPASS-1ST DEGREE,90J,PART II,COMPLETED,1ST DIVISION,123,RESIDENCE / HOME                             ,600 BLOCK S 10TH ST                                         ,LOUISVILLE,40203,52767
80-20-058959,2020-10-04 06:01:00,2020-10-04 06:00:00,OTHER,RECOVERY OF STOLEN VEHICLE-OUT OF JURISDICTION,999,,COMPLETED,3RD DIVISION,331,PARKING LOT / GARAGE                         ,7300 BLOCK ST ANDREWS CHURCH RD                             ,LOUISVILLE,40214,52768
80-20-058960,2020-10-04 04:25:00,2020-10-04 02:09:00,SEX CRIMES,RAPE - 1ST DEGREE,11A,PART I,COMPLETED,7TH DIVISION,736,RESIDENCE / HOME                             ,8200 BLOCK MINOR LN                                         ,LOUISVILLE,40219,52769
80-20-058960,2020-10-04 04:25:00,2020-10-04 02:09:00,BURGLARY,BURGLARY - 2ND DEGREE,220,PART I,COMPLETED,7TH DIVISION,736,RESIDENCE / HOME                             ,8200 BLOCK MINOR LN                                         ,LOUISVILLE,40219,52770
80-20-058960,2020-10-04 04:25:00,2020-10-04 02:09:00,THEFT/LARCENY,TBUT OR DISP ALL OTHERS <  $500,23H,PART I,COMPLETED,7TH DIVISION,736,RESIDENCE / HOME                             ,8200 BLOCK MINOR LN                                         ,LOUISVILLE,40219,52771
80-20-058960,2020-10-04 04:25:00,2020-10-04 02:09:00,ASSAULT,INTIMIDATING A PARTICIPANT IN LEGAL PROCESS,13C,PART II,COMPLETED,7TH DIVISION,736,RESIDENCE / HOME                             ,8200 BLOCK MINOR LN                                         ,LOUISVILLE,40219,52772
80-20-058981,2020-10-04 09:32:00,2020-10-04 09:32:00,DRUGS/ALCOHOL VIOLATIONS,DRUG PARAPHERNALIA - BUY/POSSESS,35B,PART II,COMPLETED,3RD DIVISION,315,SERVICE / GAS STATION                        ,9200 BLOCK DIXIE HWY                                        ,LOUISVILLE,40272,52773
